dolar_ano,dolar_mes,dolar_dia,dolar_fechamento,dolar_abertura,dolar_max,dolar_min
2023,06,2023-06-30,4.7860,4.8559,4.8709,4.7828
2023,06,2023-06-29,4.8553,4.8516,4.8750,4.8283
2023,06,2023-06-28,4.8506,4.8121,4.8717,4.8097
2023,06,2023-06-27,4.8103,4.7650,4.8148,4.7505
2023,06,2023-06-26,4.7675,4.7838,4.7870,4.7579
2023,06,2023-06-23,4.7864,4.7719,4.8073,4.7653
2023,06,2023-06-22,4.7689,4.7648,4.7884,4.7507
2023,06,2023-06-21,4.7630,4.7907,4.8170,4.7624
2023,06,2023-06-20,4.7902,4.7780,4.8086,4.7734
2023,06,2023-06-19,4.7772,4.8202,4.8320,4.7587
2023,06,2023-06-16,4.8199,4.8112,4.8506,4.8060
2023,06,2023-06-15,4.8102,4.8144,4.8446,4.7949
2023,06,2023-06-14,4.8146,4.8627,4.8678,4.7962
2023,06,2023-06-13,4.8622,4.8622,4.8799,4.8475
2023,06,2023-06-12,4.8613,4.8794,4.9007,4.8611
2023,06,2023-06-09,4.8791,4.9208,4.9276,4.8524
2023,06,2023-06-07,4.9235,4.9134,4.9325,4.8995
2023,06,2023-06-06,4.9125,4.9292,4.9564,4.9004
2023,06,2023-06-05,4.9289,4.9581,4.9765,4.9121
2023,06,2023-06-02,4.9571,5.0148,5.0152,4.9453
2023,06,2023-06-01,5.0140,5.0553,5.0588,5.0044
2023,05,2023-05-31,5.0574,5.0365,5.1279,5.0365
2023,05,2023-05-30,5.0357,5.0174,5.0700,4.9990
2023,05,2023-05-29,5.0171,4.9942,5.0209,4.9736
2023,05,2023-05-26,4.9939,5.0375,5.0375,4.9774
2023,05,2023-05-25,5.0356,4.9618,5.0448,4.9422
2023,05,2023-05-24,4.9619,4.9717,4.9767,4.9349
2023,05,2023-05-23,4.9714,4.9665,4.9952,4.9503
2023,05,2023-05-22,4.9667,4.9983,5.0063,4.9528
2023,05,2023-05-19,4.9981,4.9668,5.0033,4.9433
2023,05,2023-05-18,4.9652,4.9401,4.9818,4.9391
2023,05,2023-05-17,4.9396,4.9411,4.9714,4.9226
2023,05,2023-05-16,4.9402,4.8893,4.9542,4.8847
2023,05,2023-05-15,4.8904,4.9196,4.9335,4.8853
2023,05,2023-05-12,4.9195,4.9308,4.9567,4.9079
2023,05,2023-05-11,4.9295,4.9443,4.9847,4.9254
2023,05,2023-05-10,4.9424,4.9882,4.9914,4.9345
2023,05,2023-05-09,4.9862,5.0097,5.0374,4.9728
2023,05,2023-05-08,5.0097,4.9531,5.0186,4.9410
2023,05,2023-05-05,4.9518,4.9847,5.0080,4.9250
2023,05,2023-05-04,4.9822,4.9959,5.0346,4.9694
2023,05,2023-05-03,4.9949,5.0398,5.0524,4.9812
2023,05,2023-05-02,5.0387,4.9893,5.0535,4.9889
2023,05,2023-05-01,4.9889,4.9875,4.9895,4.9875
2023,04,2023-04-28,4.9865,4.9776,5.0200,4.9776
2023,04,2023-04-27,4.9771,5.0445,5.0490,4.9693
2023,04,2023-04-26,5.0435,5.0542,5.0746,5.0353
2023,04,2023-04-25,5.0497,5.0348,5.0845,5.0294
2023,04,2023-04-24,5.0337,5.0481,5.0863,5.0339
2023,04,2023-04-21,5.0486,5.0493,5.0493,5.0489
2023,04,2023-04-20,5.0486,5.0759,5.0864,5.0360
2023,04,2023-04-19,5.0753,4.9859,5.0895,4.9859
2023,04,2023-04-18,4.9840,4.9415,4.9974,4.9097
2023,04,2023-04-17,4.9413,4.9102,4.9573,4.8988
2023,04,2023-04-14,4.9096,4.9279,4.9653,4.8922
2023,04,2023-04-13,4.9272,4.9190,4.9405,4.8927
2023,04,2023-04-12,4.9181,5.0077,5.0108,4.9155
2023,04,2023-04-11,5.0054,5.0667,5.0675,4.9886
2023,04,2023-04-10,5.0655,5.0559,5.0938,5.0368
2023,04,2023-04-07,5.0549,5.0599,5.0599,5.0559
2023,04,2023-04-06,5.0570,5.0345,5.0837,5.0342
2023,04,2023-04-05,5.0340,5.0724,5.0778,5.0163
2023,04,2023-04-04,5.0716,5.0643,5.1002,5.0493
2023,04,2023-04-03,5.0632,5.0637,5.0834,5.0382
2023,03,2023-03-31,5.0631,5.0947,5.1094,5.0547
2023,03,2023-03-30,5.0938,5.1367,5.1610,5.0723
2023,03,2023-03-29,5.1356,5.1660,5.1846,5.1262
2023,03,2023-03-28,5.1655,5.1986,5.1993,5.1477
2023,03,2023-03-27,5.1983,5.2466,5.2509,5.1926
2023,03,2023-03-24,5.2463,5.2976,5.3421,5.2380
2023,03,2023-03-23,5.2973,5.2372,5.3016,5.2024
2023,03,2023-03-22,5.2369,5.2438,5.2800,5.2042
2023,03,2023-03-21,5.2430,5.2371,5.2549,5.2130
2023,03,2023-03-20,5.2368,5.2756,5.2853,5.2295
2023,03,2023-03-17,5.2778,5.2297,5.2855,5.2294
2023,03,2023-03-16,5.2285,5.2884,5.3117,5.2221
2023,03,2023-03-15,5.2882,5.2539,5.3289,5.2505
2023,03,2023-03-14,5.2543,5.2472,5.2629,5.2208
2023,03,2023-03-13,5.2459,5.2171,5.2835,5.2106
2023,03,2023-03-10,5.2166,5.1650,5.2216,5.1509
2023,03,2023-03-09,5.1645,5.1458,5.1706,5.1093
2023,03,2023-03-08,5.1453,5.1913,5.1913,5.1003
2023,03,2023-03-07,5.1910,5.1539,5.2059,5.1522
2023,03,2023-03-06,5.1534,5.1990,5.2179,5.1516
2023,03,2023-03-03,5.1956,5.2011,5.2302,5.1820
2023,03,2023-03-02,5.2006,5.1796,5.2288,5.1795
2023,03,2023-03-01,5.1794,5.2369,5.2369,5.1747
2023,02,2023-02-28,5.2367,5.2013,5.2519,5.1788
2023,02,2023-02-27,5.2008,5.2071,5.2134,5.1706
2023,02,2023-02-24,5.2100,5.1378,5.2144,5.1350
2023,02,2023-02-23,5.1373,5.1527,5.1758,5.1093
2023,02,2023-02-22,5.1522,5.1680,5.2133,5.1515
2023,02,2023-02-21,5.1675,5.1679,5.1680,5.1655
2023,02,2023-02-20,5.1674,5.1679,5.1679,5.1679
2023,02,2023-02-17,5.1674,5.2181,5.2538,5.1496
2023,02,2023-02-16,5.2178,5.2195,5.2603,5.1961
