cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,codigo_situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_exterior,codigo_pais,data_inicio_atividade,cnae_principal,cnae_secundario,tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio_siafi,ddd1,telefone1,ddd2,telefone2,dddfax,fax,email,situacao_especial,data_situacao_especial
60001245,0001,65,1,O PROFESSOR ELETRONICO,08,19801015,01,,,19710412,8888888,,RUA,BERNARDINO DE CAMPOS,3180,SOBRE LOJA SALA 12,CENTRO,15015300,SP,7097,,,,,,,,,
60001252,0001,67,1,BAR DO MANO,04,20181219,63,,,19730613,4712100,,RUA,PIRATININGA,78,,JD PAULISTA,15060210,SP,7097,,,,,,,,,
60001260,0001,03,1,,08,20081231,71,,,19720404,4774100,,RUA,BERNARDINO DE CAMPOS,3220,,CENTRO,15015300,SP,7097,,,,,,,,,
60001286,0001,51,1,,08,19951204,01,,,19940616,8512100,,RUA,NICOLA MARTINS ROMEIRA,230,,CENTRO,19930000,SP,6965,,,,,,,,,
60001294,0001,06,1,,08,19960331,01,,,19940708,8888888,,RUA,CEL JULIO SILVA,668,,CENTRO,18970000,SP,6337,,,,,,,,,
60001302,0001,06,1,ASSOCIACAO DOS EMPREGADOS DA CESP,02,20051103,00,,,19940708,9430800,"9493600,9499500",AVENIDA,ALTINO ARANTES,813,FUNDOS,CENTRO,19904565,SP,6795,,,,,,,,,
60001310,0001,52,1,,08,19960201,01,,,19940708,9430800,"9493600,9499500",PRACA,FRANKLIN C DA SILVA,122,,JD BELA VISTA,19904565,SP,6795,,,,,,,,,
60001328,0001,54,1,,08,19960201,01,,,19940708,9430800,"9493600,9499500",RUA,PRUDENTE DE MORAES,400,,VL SA,19907300,SP,6795,,,,,,,,,
60001336,0001,09,1,,08,20081231,71,,,19940715,8030700,,RUA,ABRAHAO ABUJANRA,419,,JD PRIMAVERA,19906205,SP,6795,,,,,,,,,
60001344,0001,47,1,,08,19780502,01,,,19700506,8888888,,RUA,CAPITAO F DE ALMEIDA,547,,PQ INDUSTRIAL,15042102,SP,7097,,,,,,,,,
60001351,0001,49,1,ESTACIONAMENTO GENERAL,08,19780502,01,,,19700303,8888888,,RUA,BERNARDINO DE CAMPOS,3921,,VL REDENTORA,15060010,SP,7097,,,,,,,,,
60001369,0001,40,1,,02,20010225,00,,,19940721,8299799,"6399200,7410299,7490105,7490199,8219999,8299703,8299707",RUA,ALVARO FERREIRA DE MORAES,54,,VILA MORAES,19900250,SP,6795,14,33222783,,,,,,,
60001377,0001,97,1,,08,19990615,01,,,19700218,4722901,,RUA,CONSELHEIRO SARAIVA,200,,VILA ERCILIA,15013090,SP,7097,,,,,,,,,
60001393,0001,80,1,LABORATORIO OURINHOS DE ANALISES CLINICAS,08,20000608,01,,,19940721,8640202,,RUA,SALGADO FILHO,70,,VL MORAES,19904565,SP,6795,,,,,,,,,
60001435,0001,82,1,,08,19951204,01,,,19940721,9430800,"9493600,9499500",RUA,DR CLAUDIO S P CATALANO,19,,JD ELDORADO,18900000,SP,7029,,,,,,,,,
60001443,0001,29,1,LOTERICA JOAQUIM GARRUCHA,08,20081231,71,,,19760101,8888888,,RUA,BERNARDINO DE CAMPOS,3648,,REDENTORA,15060010,SP,7097,,,,,,,,,
60001468,0001,22,1,,08,19981214,01,,,19940721,9430800,"9493600,9499500",RUA,FREI MARCOS RIGHI,43,,CENTRO,18900000,SP,7029,,,,,,,,,
60001484,0001,15,1,MAS REPRESENTACOES,08,20200707,01,,,19940729,4619200,,RUA,SAO JOSE,59,,VL GONZAGA,18900000,SP,7029,,,,,,,,,
60001492,0001,61,1,COMUNIDADE EVANGELICA DE OURINHOS,02,19990801,00,,,19940804,9491000,,RUA,AMAZONAS,431,,CENTRO,19911710,SP,6795,,,,,,,,,
60001500,0001,70,1,CASA DAS BATERIAS,08,19910822,01,,,19700615,4530701,,RUA,GENERAL GLICERIO,4405,,REDENTORA,15015400,SP,7097,,,,,,,,,
60001518,0001,71,1,,02,20030503,00,,,19700228,8730199,"8711505,8720499",RUA,VISCONDE DE OURO PRETO,612,,ESPLANADA,15030300,SP,7097,,,,,,,,,
60001526,0001,18,1,,08,20150209,73,,,19940805,9430800,"9493600,9499500",RUA,ARI TOTTI,319,,CENTRO,18990000,SP,2947,,,,,,,,,
60001559,0001,68,1,,08,20081231,71,,,19940808,9491000,,AVENIDA,ANTONIO SAMADELLO,450,,ESTACAO,18950000,SP,6519,,,,,,,,,
60001567,0001,04,1,,08,20021015,01,,,19940810,8299799,"6399200,7410299,7490105,7490199,8219999,8299703,8299707",ALAMEDA,FRANCISCO RUIZ,30,,JD SANTA FE,19910085,SP,6795,,,,,,,,,
60001575,0001,50,1,,02,20010701,00,,,19940817,4110700,"4391600,4313400,7732201,7112000,7732202,6810202,6810201",AVENIDA,CORONEL CLEMENTINO GONCALVES,581,, SANTA AURELIANA,18900000,SP,7029,14,33722000,14,33723300,14,33729500,COMERCIALRAYMUNDO@GMAIL.COM,,
60001583,0001,05,1,EMPORIO DA ALZIRA,04,20181219,63,,,19700304,4711301,,AVENIDA,ABRAO JOSE DE LIMA,57,,,15110000,SP,6451,,,,,,,,,
60001591,0001,43,1,,04,20210310,63,,,19940822,9430800,"9493600,9499500",AVENIDA,VITALINA MARCUSSO,1400,,CAMPUS UNIVERSIT,19910206,SP,6795,,,,,,,,,
60001609,0001,07,1,LOCADORA CONTRA-MAO,04,20180906,63,,,19940825,7490101,,RUA,DR ALTINO ARANTES,333,FUNDOS,CENTRO,18970000,SP,6337,,,,,,,,,
60001617,0001,53,1,,08,20150209,73,,,19940912,8130300,,RUA,SILVA JARDIM,60,,VL SANTO ANTONIO,19900191,SP,6795,,,,,,,,,
60001625,0001,08,1,,08,20021031,01,,,19940912,8121400,8129000,RUA,ALTAMIRO PINHEIRO,23,,PQ MINAS GERAIS,19913080,SP,6795,,,,,,,,,
60001641,0001,92,1,,02,20051103,00,,,19940913,8711502,,RUA,JOSE PEREIRA,200,,CENTRO,19940000,SP,6491,,,,,,,,,
60001658,0001,40,1,,02,20190830,00,,,19940916,9491000,,AVENIDA,RODRIGUES ALVES,415,FUNDOS,JD PAULISTA,19904565,SP,6795,,,,,,,,,
60001666,0001,96,1,,04,20190329,63,,,19940926,9491000,,RUA,7 DE SETEMBRO,313,,VL MARGARIDA,19904565,SP,6795,,,,,,,,,
60001674,0001,32,1,,02,20051103,00,,,19940927,9529102,,RUA,IRINEU PEREIRA DA SILVA,1129,,JD DAS PAINEIRAS,19910200,SP,6795,,,,,,,,,
60001690,0002,06,2,,02,20170929,00,,,20170929,9420100,,RUA,CONSELHEIRO ANTONIO PRADO,443,,SANTA CASA,15400000,SP,6779,17,91132511,,,,,ERICO_RH@HOTMAIL.COM,,
60001690,0001,25,1,SINDICATO EMP NO COM HOTELEIRO E SIMILARES DE SJR PRETO,02,20051103,00,,,19780101,9420100,,RUA,DELEGADO PINTO TOLEDO,2667,,CENTRO,15042102,SP,7097,,,,,,,,,
60001708,0001,99,1,,04,20210310,63,,,19941004,8130300,,RUA,FRANCISCO VIDAL,271,,JD SAO FRANCISCO,19914185,SP,6795,,,,,,,,,
60001716,0001,35,1,,08,20081231,71,,,19941004,4619200,,RUA,PRUDENTE DE MORAES,190,,CENTRO,19920000,SP,7009,,,,,,,,,
60001724,0001,81,1,,08,19960331,01,,,19941007,8888888,,RUA,BRASIL,1173,,VL PERINO,19911690,SP,6795,,,,,,,,,
60001732,0001,28,1,FARMACIA PORTUGUEZA,08,20081231,71,,,19710129,4771701,,RUA,BERNARDINO DE CAMPOS,4222,,REDENTORA,15015300,SP,7097,,,,,,,,,
60001740,0001,74,1,,08,20220419,01,,,19941013,4771703,,RUA,PADRE RUY CANDIDO DA SILVA,495,,VILA ODILON,19905152,SP,6795,,,,,,,,,
60001757,0001,21,1,,04,20180906,63,,,19941014,9420100,,RUA,MONSENHOR CORDOVA,170,,CENTRO,19900103,SP,6795,,,,,,,,,
60001765,0001,78,1,,02,20021228,00,,,19910522,8112500,,RUA,CEL. SPINOLA DE CASTRO,3420,,CENTRO,15042102,SP,7097,,,,,,,,,
60001773,0001,14,1,,04,20180906,63,,,19941118,6920601,,RUA,SAO PAULO,277,1 ANDAR SALA 11 12,CENTRO,19900050,SP,6795,,,,,,,,,
60001807,0001,70,1,,08,20081231,71,,,19941122,7490101,,RUA,JUVENAL R ALMEIDA,14,,JD DAS PAINEIRAS,19904565,SP,6795,,,,,,,,,
